#sl_no Z X M L T_eff
378 0.013 0.71847 2.94152 391.40003 4522.02759
379 0.013 0.71847 2.01609 64.76955 4915.77759
380 0.013 0.71847 2.43523 77.53465 7868.90259
381 0.013 0.71847 2.77783 119.19648 7484.3811
382 0.013 0.71847 2.09247 76.02404 4760.9436
383 0.013 0.71847 2.34357 63.50763 7976.5686
384 0.013 0.71847 2.93978 186.88564 5745.3186
385 0.013 0.71847 2.55148 256.03225 4514.84985
386 0.013 0.71847 2.03402 42.36866 6746.09985
387 0.013 0.71847 2.45689 149.25183 5499.22485
388 0.013 0.71847 2.28888 106.52102 7607.42798
389 0.013 0.71847 2.76474 182.73019 6623.05298
390 0.013 0.71847 2.49783 141.09305 6430.27954
391 0.013 0.71847 2.85092 317.00646 6528.71704
392 0.013 0.71847 2.20924 123.28546 4445.12329
393 0.013 0.71847 2.87797 303.06575 5560.74829
394 0.013 0.71847 2.65597 216.29799 7668.95142
395 0.013 0.71847 2.11732 73.50256 5700.20142
396 0.013 0.71847 2.3714 87.98882 6553.32642
397 0.013 0.71847 2.68117 100.69809 4338.48267
398 0.013 0.71847 2.99938 169.85253 7326.47095
399 0.013 0.71847 2.72907 129.68344 5915.53345
400 0.013 0.71847 2.6032 278.55809 6096.0022
401 0.013 0.71847 2.07525 46.09627 4127.2522
402 0.013 0.71847 2.32428 113.31588 7080.3772
403 0.013 0.71847 2.16534 80.87353 4972.17407
404 0.013 0.71847 2.82079 198.80687 3987.79907
405 0.013 0.71847 2.54246 92.55506 8007.33032
406 0.013 0.71847 2.4482 158.77245 7022.95532
407 0.013 0.71847 2.13993 69.87629 4303.61938
408 0.013 0.71847 2.63411 109.55756 4861.43188
409 0.013 0.71847 2.24341 137.18246 6026.27563
410 0.013 0.71847 2.70981 235.32799 7141.90063
411 0.013 0.71847 2.50078 167.95356 5033.69751
412 0.013 0.71847 2.90871 344.89683 7396.19751
413 0.013 0.71847 2.40807 97.9071 3918.07251
414 0.013 0.71847 2.88137 301.36684 4164.16626
415 0.013 0.71847 2.99186 290.75788 6205.46265
416 0.013 0.71847 2.59668 162.04112 7468.7439
417 0.013 0.71847 2.07005 55.06495 5237.4939
418 0.013 0.71847 2.31846 94.4605 6484.3689
419 0.013 0.71847 2.15992 138.44136 4376.16577
420 0.013 0.71847 2.81372 237.48756 5360.54077
421 0.013 0.71847 2.53609 110.56295 6623.82202
422 0.013 0.71847 2.22199 70.51753 6066.00952
423 0.013 0.71847 2.35709 156.66674 4470.50171
424 0.013 0.71847 2.24838 79.80095 7538.47046
425 0.013 0.71847 2.71582 196.17021 6422.84546
426 0.013 0.71847 2.41341 116.95632 5430.26733
427 0.013 0.71847 2.83372 133.84971 7677.92358
428 0.013 0.71847 2.05544 102.19507 4035.73608
429 0.013 0.71847 2.30209 59.57375 7120.11108
430 0.013 0.71847 2.88776 175.30929 5151.36108
431 0.013 0.71847 2.09711 130.13988 5608.6853
432 0.013 0.71847 2.9463 223.24688 4624.3103
433 0.013 0.71847 2.55713 213.42935 5887.59155
434 0.013 0.71847 2.97425 438.28252 7725.09155
435 0.013 0.71847 2.03852 72.52774 7856.34155
436 0.013 0.71847 2.46233 86.82187 4903.21655
437 0.013 0.71847 2.29396 127.24619 7011.41968
438 0.013 0.71847 2.77087 312.80218 7995.79468
439 0.013 0.71847 2.18815 54.14409 4501.26343
440 0.013 0.71847 2.74483 327.19076 4895.01343
441 0.013 0.71847 2.59361 145.62587 4009.07593
442 0.013 0.71847 2.49157 82.07579 7154.97437
443 0.013 0.71847 2.39921 201.76233 6039.34937
444 0.013 0.71847 2.2037 102.77118 5957.31812
445 0.013 0.71847 2.87076 176.29757 4841.69312
446 0.013 0.71847 2.64932 258.38183 6949.89624
447 0.013 0.71847 2.11201 42.75747 4718.64624
448 0.013 0.71847 2.36546 150.6215 8065.52124
449 0.013 0.71847 2.0146 76.7217 6670.98999
450 0.013 0.71847 2.67446 120.29033 5063.17749
451 0.013 0.71847 2.62596 188.07129 4580.21851
452 0.013 0.71847 2.09339 63.91054 6548.96851
453 0.013 0.71847 2.34461 76.50635 5695.84351
454 0.013 0.71847 2.23646 164.3345 6302.87476
455 0.013 0.71847 2.5167 140.40074 5326.70288
456 0.013 0.71847 2.2899 62.48948 5818.89038
457 0.013 0.71847 2.87246 377.62165 5687.64038
458 0.013 0.71847 2.18428 112.12776 7804.04663
459 0.013 0.71847 2.84546 275.63739 6688.42163
460 0.013 0.71847 2.27373 90.56068 4641.74194
461 0.013 0.71847 2.74645 155.35123 5626.11694
462 0.013 0.71847 2.21022 50.47002 6856.58569
463 0.013 0.71847 2.11825 88.54704 7980.41382
464 0.013 0.71847 2.37245 73.96889 4764.78882
465 0.013 0.71847 2.97601 217.67025 6996.03882
466 0.013 0.71847 2.53459 227.68285 7734.32007
467 0.013 0.71847 2.02055 37.67735 5503.07007
468 0.013 0.71847 2.44063 132.72579 6749.94507
469 0.013 0.71847 2.48423 169.0191 6161.37085
470 0.013 0.71847 2.88946 347.08496 4323.87085
471 0.013 0.71847 2.39214 98.52825 7276.99585
472 0.013 0.71847 2.07617 112.75986 6407.4646
